#taxonomy	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	6.76534600481508	7.41817840383383	6.63271885367114	7.74378797924472	5.68969673657233	6.8487114259221	8.02574097692342	7.53329541896455	6.90411801355555	7.31587286287425	7.85728065487911	7.19921241844072	6.67443793342251	7.17014394214043	6.42185476834979	7.70717514813661	7.4000706440415	7.50812186691436	7.72998027099138	6.77846547682948	7.35513772722639	7.08828554447212	7.42636319454844	7.75033344400102	7.42933858954113	6.10544608430857	4.73706209338568	7.49469028449419	6.79554341290724	7.8265035017475	7.56917025489761	5.5869098745719	7.32364556026822	7.65873709287605
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	5.57574672311758	5.93004683625553	4.82459891266646	6.48592844874029	5.28190988162896	5.51689690363493	5.72264032687066	5.86677945082457	5.10662166106232	5.27385295388391	5.86136576069505	5.37897979086822	5.33271075374493	5.3140290074463	4.65789888324515	6.06525001102631	5.60513704961742	5.33966421590719	6.12521549801774	4.90788612974764	4.82506159179204	4.53732424812924	5.59281958664314	6.09399860582213	6.37227656432347	5.07341125607162	4.71468160648075	5.98015512279693	5.85315431332474	5.4658362867753	6.0451974187695	4.08672101549621	6.01548871880128	3.99338753372285
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	3.28919147853823	3.22761057001195	1.27032443006933	4.43816888740453	3.32706745208997	2.49086769887271	0.900921055293641	-3.30101158335985	1.53774848383334	-1.90956893351911	-0.163001506088638	-2.30264880229441	-2.27098509793926	3.59345193474939	3.83710660699164	3.96599699781876	-2.43299967341855	2.83626512990493	-2.16474145894378	1.12350225043099	1.67078455766665	3.16854019718576	2.08297821796857	4.62582598998159	-2.78583909948902	3.92787793697374	2.97866291900715	-2.16626253494864	0.56019258625156	3.81906989244362	3.47156288797849	3.65140897468777	1.83907750389386	2.97337515256895
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	2.25590003803351	4.06216335898486	-2.51828282257789	4.27188801878487	2.75453535609283	1.94518807431967	2.18770629252417	2.7004032946013	2.63858735986418	4.12745040877716	4.29800316713559	2.66995481505426	3.59972324803292	2.59493984273632	3.09728449455427	3.36411213654135	-1.8728682886684	-0.0193801944489605	-2.14134857936907	0.380985237545387	2.36283313883019	1.85977590134098	2.77509211820237	3.06173573983749	2.56530930067502	1.79380099548433	1.94376775442537	-3.63643838004924	3.35716883762631	3.80257291397057	-3.71114196238198	2.21690120815752	4.74378026824421	1.60625254982372
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	-1.16681441427588	-3.43692349254037	-1.70188418001317	-5.33328614863082	-2.14305286098116	0.457189298227636	-4.51166440480333	0.659801586237729	2.41491888071549	-4.91209625020593	-4.10319538848348	-0.397278917936385	0.728344301795582	-0.834569768638546	1.68933690755911	-3.55201868375139	-5.41795984999063	3.15046509401508	-0.501174041286842	2.91012965484735	2.71682977180481	-2.82417943052356	-5.40565960535006	0.588802549702795	3.81352615988713	0.681783868182567	2.0490361939785	-4.68626050454791	-4.98446388921387	2.52104738340693	4.58402312680391	1.37805530936873	-3.68918376846674	1.02790152589234
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	2.22949639570798	2.5783724642915	1.53253045059215	2.83877239558555	1.79732826979921	0.784405179522823	2.11023170064028	2.62281874679405	0.600271644991515	1.75815144326208	3.42950470336771	1.57592143872003	0.820671417458617	0.468769614820836	0.401084214718365	-4.24516586431133	0.754337050359844	0.744189450407531	2.16373146493132	1.17013420869869	-0.0289891945942084	1.54181562651413	2.15742116195245	2.48102504796612	2.99675086610595	1.62795245647651	1.64593127913706	0.371349247363289	2.69204066382176	1.62302349609445	-5.09743632350187	0.743934006642525	1.6645543920227	2.07537874438715
k__Bacteria;p__Firmicutes;NA;NA	1.08557632579438	1.76805234337662	0.769343420145333	1.62373537165424	1.19315646031356	1.24093337413981	1.16868781804448	1.49110957862122	1.04977689460083	1.317848188499	1.4051513416618	1.35283907006667	1.43198382104998	1.45517423258043	1.18289866111998	1.31839622956955	1.56728543073241	1.8315000193172	1.88255697951608	0.936985015267158	1.04921938481212	0.274727873663136	1.09689976005704	1.51461479932656	1.71636291647987	1.51911749277742	0.644410114644268	2.04909525955017	1.94198228821175	1.25841798542316	1.9698835251516	-0.103968174657465	1.15488751693793	-0.853915720646905
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	-1.16681441427588	0.53410806601589	0.586944265772384	1.74526620129332	0.415393113489938	2.51371705613998	-1.15348440822487	0.0937255820288176	0.982836470394346	1.44936322556191	1.96390657283012	2.61018010241015	-2.6900558581032	-1.07226801873625	0.0569232641560649	-1.18210877637109	2.350210956973	-0.878188973302305	-0.0919789773436133	-0.528479529258368	1.41636740317648	1.0637047995284	-2.80012496777345	-2.43241612227448	1.24951373855029	1.01779250260647	1.06091603425199	1.6414211445964	-3.54937936392455	-2.62641227870775	0.914530885932625	-1.0853517095105	0.16502316746701	3.03983242967466
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.998012298901046	2.03806222660987	1.9664644827908	0.364226713011789	-0.442398940275396	-0.213729131764639	1.93179722769865	-0.5355504750443	-0.837194840008679	-0.618528320387274	0.305959913578654	0.955447735727074	0.665121491630661	0.302899662918887	1.08301581929834	0.952146566618534	-0.0845511636313181	1.06813456972334	0.958327021133947	1.11827310059701	-1.03397706826025	-0.186464382989026	0.389696473067496	0.132533235187055	-0.0340490093756269	-1.17510676496381	0.638277652974526	2.6566573714217	0.157589454859497	1.13548387654896	1.8420944391504	0.697903962774723	0.35386749936781	1.26037009916701
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.641976536831311	-5.17152454792847	0.825175380758554	-4.77367036069539	-0.7910475733399	0.178576237376298	0.977055811836453	-0.00265264792281057	-0.350569219974713	0.170718751209374	-5.71263330091758	-2.98989626072717	0.657442068241501	-3.35161214769084	1.62759078856559	-2.77334932975328	1.81807089840855	1.14123828848454	-0.339047565470554	-0.604624576877167	-1.53708064593233	0.513876471420112	1.8830053392288	0.584485832787222	0.294806543391597	0.867063381918791	0.943388666529469	-0.114499380690952	1.24981610900578	0.87227037877668	-3.00029520472264	-0.314459744841987	1.54608416378183	0.136892232414718
