	MCT.f.0460	MCT.f.0461	MCT.f.0462	MCT.f.0463	MCT.f.0464	MCT.f.0467	MCT.f.0468	MCT.f.0470	MCT.f.0472	MCT.f.0473	MCT.f.0475	MCT.f.0476
MCT.f.0460	0.0	3.27046935863	5.68441878451	5.82172678156	5.64512892407	6.42585499316	6.45795339412	6.25566044977	6.91057108846	7.17867271696	6.48527131783	6.46150612613
MCT.f.0461	3.27046935863	0.0	4.27385116182	4.40734344805	4.8678945697	5.42110038045	5.14379470429	5.22373282104	6.44330035217	6.58900618857	5.63818118709	5.79252065034
MCT.f.0462	5.68441878451	4.27385116182	0.0	2.8315852045	3.85675322111	5.4171830217	5.21431039711	5.49189083642	6.7696238171	7.18172900987	5.41876652458	6.3321380862
MCT.f.0463	5.82172678156	4.40734344805	2.8315852045	0.0	2.94524060723	5.4550802139	5.00313999347	5.26877233178	6.11070046739	6.75401464758	5.07276571209	5.33449325794
MCT.f.0464	5.64512892407	4.8678945697	3.85675322111	2.94524060723	0.0	5.4703379224	5.0858662614	5.42453128292	5.910399235	6.87091333679	5.13490846116	5.59789100411
MCT.f.0467	6.42585499316	5.42110038045	5.4171830217	5.4550802139	5.4703379224	0.0	2.44670123368	3.71578334304	6.31321877065	6.1156384505	4.6781121751	5.1803358664
MCT.f.0468	6.45795339412	5.14379470429	5.21431039711	5.00313999347	5.0858662614	2.44670123368	0.0	3.33803304343	6.40990403333	6.25539328342	4.70569025235	5.38871356341
MCT.f.0470	6.25566044977	5.22373282104	5.49189083642	5.26877233178	5.42453128292	3.71578334304	3.33803304343	0.0	5.36875069529	5.51525396442	3.82443011743	4.35784894279
MCT.f.0472	6.91057108846	6.44330035217	6.7696238171	6.11070046739	5.910399235	6.31321877065	6.40990403333	5.36875069529	0.0	3.12794372888	3.76284295793	3.89396985825
MCT.f.0473	7.17867271696	6.58900618857	7.18172900987	6.75401464758	6.87091333679	6.1156384505	6.25539328342	5.51525396442	3.12794372888	0.0	2.78737001324	3.53522386899
MCT.f.0475	6.48527131783	5.63818118709	5.41876652458	5.07276571209	5.13490846116	4.6781121751	4.70569025235	3.82443011743	3.76284295793	2.78737001324	0.0	2.31030006305
MCT.f.0476	6.46150612613	5.79252065034	6.3321380862	5.33449325794	5.59789100411	5.1803358664	5.38871356341	4.35784894279	3.89396985825	3.53522386899	2.31030006305	0.0
