	sample1	sample2	sample3	sample5	sample6	sample7	sample8	sample9	sample11	sample12	sample13	sample14
sample1	0.0	6.63854983429	4.617096655	8.0870632835	5.28595006348	7.53233153122	7.1743984123	5.99219992427	6.98563420557	8.29771927139	9.16038597693	7.37191299592
sample2	6.63854983429	0.0	5.20935876982	8.06479176479	7.0929279577	5.08234159963	7.07458349477	6.39936920954	7.17293446284	6.17517332058	8.53673978955	7.99270648531
sample3	4.617096655	5.20935876982	0.0	6.79991678275	4.68612049049	5.8951357729	7.10488592562	5.64038797901	5.63595642685	6.4977019991	7.97422433223	6.54606809067
sample5	8.0870632835	8.06479176479	6.79991678275	0.0	8.47055301162	7.78368706374	8.61015899236	7.38558672129	7.711970381	8.51411007772	9.4380287045	7.36582974402
sample6	5.28595006348	7.0929279577	4.68612049049	8.47055301162	0.0	6.15767490428	4.43367139959	5.98173374613	5.9113750232	6.69974968711	8.43716153128	7.52442380461
sample7	7.53233153122	5.08234159963	5.8951357729	7.78368706374	6.15767490428	0.0	6.27680065293	7.34759680266	6.53551229164	4.52228377187	8.27542969851	7.76843489394
sample8	7.1743984123	7.07458349477	7.10488592562	8.61015899236	4.43367139959	6.27680065293	0.0	5.29582577132	5.42060263244	5.59977989729	7.5275862069	7.08090340795
sample9	5.99219992427	6.39936920954	5.64038797901	7.38558672129	5.98173374613	7.34759680266	5.29582577132	0.0	5.63610603797	6.63228816723	7.07435254804	7.5134502924
sample11	6.98563420557	7.17293446284	5.63595642685	7.711970381	5.9113750232	6.53551229164	5.42060263244	5.63610603797	0.0	5.8482616283	7.67310099644	6.92984300921
sample12	8.29771927139	6.17517332058	6.4977019991	8.51411007772	6.69974968711	4.52228377187	5.59977989729	6.63228816723	5.8482616283	0.0	7.56957109085	7.43557919622
sample13	9.16038597693	8.53673978955	7.97422433223	9.4380287045	8.43716153128	8.27542969851	7.5275862069	7.07435254804	7.67310099644	7.56957109085	0.0	8.09941520468
sample14	7.37191299592	7.99270648531	6.54606809067	7.36582974402	7.52442380461	7.76843489394	7.08090340795	7.5134502924	6.92984300921	7.43557919622	8.09941520468	0.0
