	MCT.f.0579	MCT.f.0580	MCT.f.0581	MCT.f.0582	MCT.f.0583	MCT.f.0585	MCT.f.0586	MCT.f.0587	MCT.f.0590	MCT.f.0592	MCT.f.0593	MCT.f.0595
MCT.f.0579	0.0	13.3222070575	19.1455089506	13.7457528265	17.5323647925	14.3926636308	19.4737666039	19.5626492938	21.0361915835	20.6414594818	20.6767778448	20.0859413381
MCT.f.0580	13.3222070575	0.0	17.1575999886	11.1571665058	15.9995247531	13.2407170779	17.0830327428	18.1247921747	19.3552016488	19.8990757107	19.3841118918	19.1041655068
MCT.f.0581	19.1455089506	17.1575999886	0.0	14.6301210581	16.4267285333	15.2922147027	16.9344512123	18.1155150238	18.8339261947	21.2535379233	19.5128101141	21.4175505572
MCT.f.0582	13.7457528265	11.1571665058	14.6301210581	0.0	13.7751866178	10.3816152489	14.4836504995	14.8734866717	17.1266356881	17.4827766645	17.1348173017	18.8044111007
MCT.f.0583	17.5323647925	15.9995247531	16.4267285333	13.7751866178	0.0	12.5234304418	11.3831023798	13.2228057048	12.6451096464	16.6742705214	12.9651159324	14.1282614419
MCT.f.0585	14.3926636308	13.2407170779	15.2922147027	10.3816152489	12.5234304418	0.0	11.1128240851	13.5245830737	14.0845539913	15.9840481257	14.5108832025	16.3593646166
MCT.f.0586	19.4737666039	17.0830327428	16.9344512123	14.4836504995	11.3831023798	11.1128240851	0.0	8.48989475721	8.63939526437	13.2424249296	10.2591398637	13.5741254167
MCT.f.0587	19.5626492938	18.1247921747	18.1155150238	14.8734866717	13.2228057048	13.5245830737	8.48989475721	0.0	9.90885826945	11.1855481673	9.57309925182	13.6106251561
MCT.f.0590	21.0361915835	19.3552016488	18.8339261947	17.1266356881	12.6451096464	14.0845539913	8.63939526437	9.90885826945	0.0	12.7179583595	8.70515968286	13.4133572869
MCT.f.0592	20.6414594818	19.8990757107	21.2535379233	17.4827766645	16.6742705214	15.9840481257	13.2424249296	11.1855481673	12.7179583595	0.0	8.0599029979	10.9837644674
MCT.f.0593	20.6767778448	19.3841118918	19.5128101141	17.1348173017	12.9651159324	14.5108832025	10.2591398637	9.57309925182	8.70515968286	8.0599029979	0.0	9.06982343687
MCT.f.0595	20.0859413381	19.1041655068	21.4175505572	18.8044111007	14.1282614419	16.3593646166	13.5741254167	13.6106251561	13.4133572869	10.9837644674	9.06982343687	0.0
