	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample17
sample1	0.0	11.9761078442	9.92467361075	11.1596826834	10.8589308093	12.0574049078	14.5877401701	14.4476611104	10.7616820273	14.1465611814	18.689211075	12.8889279386	10.585381986	16.1168433106	14.6311090802	13.1795735035
sample2	11.9761078442	0.0	10.3392384778	10.8047310883	8.98080185868	10.4046662797	11.5263584524	7.80035910195	11.1609071834	11.0561092642	15.0504226173	13.6334107355	12.3967101716	9.90993152217	10.1824432285	11.6198619675
sample3	9.92467361075	10.3392384778	0.0	11.1505788482	9.23395218332	9.0251172928	11.7038462232	12.6566157671	11.1874433665	12.758577566	17.9049542596	12.7991009032	12.1485276044	14.3601983685	13.3131137339	13.052050512
sample4	11.1596826834	10.8047310883	11.1505788482	0.0	8.45246884324	11.3315768716	14.8453722962	12.9879616715	12.9581457943	14.3860202321	18.1659170319	15.2353609879	11.6749183705	15.0594179665	13.5054949396	11.8303342513
sample5	10.8589308093	8.98080185868	9.23395218332	8.45246884324	0.0	9.07117292705	12.9114097383	11.3419733872	12.1580702076	14.0835397074	17.9340034658	14.8427447664	11.8977799501	13.2746936154	11.5508759222	10.4356273487
sample6	12.0574049078	10.4046662797	9.0251172928	11.3315768716	9.07117292705	0.0	11.1462033081	12.1158006951	11.5413268828	13.9673452053	17.7078701209	14.6797215996	13.6692244432	13.7229379858	12.0006305136	11.8597377608
sample7	14.5877401701	11.5263584524	11.7038462232	14.8453722962	12.9114097383	11.1462033081	0.0	11.4180188652	12.0071664018	14.5152881142	17.8924246398	14.867569241	15.9258511817	13.8868933875	12.2395457282	13.8663972952
sample8	14.4476611104	7.80035910195	12.6566157671	12.9879616715	11.3419733872	12.1158006951	11.4180188652	0.0	11.4373035669	10.0699167451	12.9620337793	13.8158147725	14.0220231467	9.69686371546	9.57090331081	12.3965956164
sample9	10.7616820273	11.1609071834	11.1874433665	12.9581457943	12.1580702076	11.5413268828	12.0071664018	11.4373035669	0.0	10.9987589482	15.8106765087	10.4530939681	11.010468447	14.3904771073	13.8078605737	14.0605246474
sample10	14.1465611814	11.0561092642	12.758577566	14.3860202321	14.0835397074	13.9673452053	14.5152881142	10.0699167451	10.9987589482	0.0	11.6850765546	10.3109096837	13.3792230434	12.860873059	14.0689563836	16.4967373023
sample11	18.689211075	15.0504226173	17.9049542596	18.1659170319	17.9340034658	17.7078701209	17.8924246398	12.9620337793	15.8106765087	11.6850765546	0.0	15.5965060785	17.4361513413	13.8623604401	15.1133340267	18.7946796187
sample12	12.8889279386	13.6334107355	12.7991009032	15.2353609879	14.8427447664	14.6797215996	14.867569241	13.8158147725	10.4530939681	10.3109096837	15.5965060785	0.0	10.4863946737	14.1688905665	15.8732011223	17.4439547423
sample13	10.585381986	12.3967101716	12.1485276044	11.6749183705	11.8977799501	13.6692244432	15.9258511817	14.0220231467	11.010468447	13.3792230434	17.4361513413	10.4863946737	0.0	12.8413020404	13.983283885	14.0443583459
sample14	16.1168433106	9.90993152217	14.3601983685	15.0594179665	13.2746936154	13.7229379858	13.8868933875	9.69686371546	14.3904771073	12.860873059	13.8623604401	14.1688905665	12.8413020404	0.0	9.19257089671	13.3212858398
sample15	14.6311090802	10.1824432285	13.3131137339	13.5054949396	11.5508759222	12.0006305136	12.2395457282	9.57090331081	13.8078605737	14.0689563836	15.1133340267	15.8732011223	13.983283885	9.19257089671	0.0	9.43389068586
sample17	13.1795735035	11.6198619675	13.052050512	11.8303342513	10.4356273487	11.8597377608	13.8663972952	12.3965956164	14.0605246474	16.4967373023	18.7946796187	17.4439547423	14.0443583459	13.3212858398	9.43389068586	0.0
