	sample1	sample4	sample5	sample7	sample9	sample10	sample12	sample13
sample1	0.0	7.45633074935	6.35794076724	8.6976744186	6.94114269308	6.01230466347	7.62017941592	7.92135807176
sample4	7.45633074935	0.0	7.09081885856	8.74838709677	5.59482277977	6.10732206861	6.43761412051	8.09524061343
sample5	6.35794076724	7.09081885856	0.0	7.75844645551	6.24843304843	5.51436711437	8.2450411224	7.25704077343
sample7	8.6976744186	8.74838709677	7.75844645551	0.0	7.0931372549	6.86562402739	9.28301886792	9.26567020251
sample9	6.94114269308	5.59482277977	6.24843304843	7.0931372549	0.0	3.10229276896	7.27486606103	8.4729811779
sample10	6.01230466347	6.10732206861	5.51436711437	6.86562402739	3.10229276896	0.0	5.61046221424	7.31936854888
sample12	7.62017941592	6.43761412051	8.2450411224	9.28301886792	7.27486606103	5.61046221424	0.0	6.27296628518
sample13	7.92135807176	8.09524061343	7.25704077343	9.26567020251	8.4729811779	7.31936854888	6.27296628518	0.0
