	MCT.f.0035	MCT.f.0036	MCT.f.0037	MCT.f.0038	MCT.f.0039	MCT.f.0042	MCT.f.0043	MCT.f.0044	MCT.f.0045	MCT.f.0048	MCT.f.0049	MCT.f.0051
MCT.f.0035	0.0	4.89817667891	5.28360786759	5.74204808313	6.31116455302	6.92267745412	6.60589123284	5.96175719591	5.85861984114	6.4632719383	6.84602373576	6.46680631147
MCT.f.0036	4.89817667891	0.0	4.82289561514	5.74685582014	6.45570640723	6.30011414002	6.52561164794	6.88357481636	6.68147082634	7.56464090061	7.08170781571	6.46835278798
MCT.f.0037	5.28360786759	4.82289561514	0.0	3.21837566137	4.47935358466	6.52355933399	6.35411941855	5.57803510148	5.63722914861	6.30010865765	6.61107190955	6.25425616975
MCT.f.0038	5.74204808313	5.74685582014	3.21837566137	0.0	2.58236706371	6.68875012755	6.53458621863	5.41834751357	5.67728029749	6.71088011264	6.86366711967	6.3440563932
MCT.f.0039	6.31116455302	6.45570640723	4.47935358466	2.58236706371	0.0	6.73183932083	6.47706756187	5.46406497382	5.68469152602	7.00232179828	6.87253283427	6.0530646101
MCT.f.0042	6.92267745412	6.30011414002	6.52355933399	6.68875012755	6.73183932083	0.0	3.75273994229	6.06874973608	6.72497266748	7.26946808874	6.55844833037	6.19376350296
MCT.f.0043	6.60589123284	6.52561164794	6.35411941855	6.53458621863	6.47706756187	3.75273994229	0.0	4.25962157292	5.21075380226	6.43981378109	5.64321110788	5.59163411062
MCT.f.0044	5.96175719591	6.88357481636	5.57803510148	5.41834751357	5.46406497382	6.06874973608	4.25962157292	0.0	2.98493816254	6.23161764706	5.95261280915	6.05743243243
MCT.f.0045	5.85861984114	6.68147082634	5.63722914861	5.67728029749	5.68469152602	6.72497266748	5.21075380226	2.98493816254	0.0	6.21723516262	5.98781910083	6.06447611611
MCT.f.0048	6.4632719383	7.56464090061	6.30010865765	6.71088011264	7.00232179828	7.26946808874	6.43981378109	6.23161764706	6.21723516262	0.0	4.99193582122	4.83934384565
MCT.f.0049	6.84602373576	7.08170781571	6.61107190955	6.86366711967	6.87253283427	6.55844833037	5.64321110788	5.95261280915	5.98781910083	4.99193582122	0.0	3.35195502054
MCT.f.0051	6.46680631147	6.46835278798	6.25425616975	6.3440563932	6.0530646101	6.19376350296	5.59163411062	6.05743243243	6.06447611611	4.83934384565	3.35195502054	0.0
