#FoodID	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37	taxonomy
Hummus	3.17719852941176	0	4.44807794117647	0	0	0	1.27087941176471	0	0	0	0	0	0	1.90631911764706	0.953159529411765	15.2505529411765	1.27087941176471	1.27087941176471	0	0	0	0	0	0	0	0.953159529411765	0	3.81263823529412	0	0	1.27087941176471	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;L5_Bean_dips_and_sauces;Hummus
Refried beans	1.78030147058824	0	2.96764388235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18686764705882	0	0	0	4.74747058823529	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;L5_Bean_dips_and_sauces;Refried_beans
Pork and beans	0	0	0	0	3.26146764705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08715588235294	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;L5_Beans_with_pork;Pork_and_beans
Falafel	0.6607	0	0	0	0	0	0	0	0	0	0	0	0	1.9821	0	3.3035	0	0.6607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;L5_Falafel;Falafel
Chili with beans without meat	0	0	0	0	0	10.0165676470588	0	0	0	0	0	0	0	0	1.43093823529412	0	0	0	0	0	0	0	0	0	0	3.81583529411765	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Low_sodium_or_meatless_beans;L5_;Chili_with_beans_without_meat
Stewed beans with pork tomatoes and chili peppers Mexican style Frijoles a la charra 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78439411764706	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Mixed_bean_dishes;L5_;Stewed_beans_with_pork_tomatoes_and_chili_peppers_Mexican_style_Frijoles_a_la_charra_
Black brown or Bayo beans dry cooked fat added in cooking	0	0	0	0	0	0	2.07298235294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18245588235294	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Black_brown_bayo_or_fava;Black_brown_or_Bayo_beans_dry_cooked_fat_added_in_cooking
Black brown or Bayo beans dry cooked fat added in cooking W BUTTER NFS	0	0	0	0	0	0	0	0	0	0	2.00738823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Black_brown_bayo_or_fava;Black_brown_or_Bayo_beans_dry_cooked_fat_added_in_cooking_W_BUTTER_NFS
Black brown or Bayo beans dry cooked fat not added in cooking	3.49969411764706	0.92960625	0	0	0	1.74984705882353	1.74984705882353	0	1.74984705882353	0	0	0	1.74984705882353	0	0	0	0	0	0	0	0	0	0	0	0	0.437461764705882	0	0	2.62477058823529	0	3.49969411764706	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Black_brown_bayo_or_fava;Black_brown_or_Bayo_beans_dry_cooked_fat_not_added_in_cooking
Black brown or Bayo beans dry cooked NS as to fat added in cooking	0	2.20254375	0	0	0	0	1.03649117647059	0	0	0	0	0	0	0	3.10947352941176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Black_brown_bayo_or_fava;Black_brown_or_Bayo_beans_dry_cooked_NS_as_to_fat_added_in_cooking
Pinto calico or red Mexican beans dry cooked fat added in cooking	0	0	0	0	0	0	1.10909705882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0909705882353	0	23.2910382352941	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Pinto_calico_or_red_Mexican_beans;Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_added_in_cooking
Pinto calico or red Mexican beans dry cooked fat not added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	5.70289411764706	0	0	0	0	0	0	0	0	0	0	0	0	2.85144705882353	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Pinto_calico_or_red_Mexican_beans;Pinto_calico_or_red_Mexican_beans_dry_cooked_fat_not_added_in_cooking
Pinto calico or red Mexican beans dry cooked NS as to fat added in cooking	0	0	0	0	0	0	1.10909705882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10909705882353	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Pinto_calico_or_red_Mexican_beans;Pinto_calico_or_red_Mexican_beans_dry_cooked_NS_as_to_fat_added_in_cooking
Red kidney beans dry cooked fat not added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846341176470588	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Red_kidney_beans;Red_kidney_beans_dry_cooked_fat_not_added_in_cooking
Red kidney beans dry cooked NS as to fat added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00785882352941	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_Red_kidney_beans;Red_kidney_beans_dry_cooked_NS_as_to_fat_added_in_cooking
Beans dry cooked NS as to type and as to fat added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.517367647058824	0	0	0	1.09940625	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_White_or_NS;Beans_dry_cooked_NS_as_to_type_and_as_to_fat_added_in_cooking
Beans dry cooked NS as to type fat not added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4629296875	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_White_or_NS;Beans_dry_cooked_NS_as_to_type_fat_not_added_in_cooking
White beans dry cooked fat added in cooking	0	0	0	0	0	0	0	0	0	2.23676470588235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_White_or_NS;White_beans_dry_cooked_fat_added_in_cooking
White beans dry cooked fat added in cooking W BUTTER NFS	0	0	0	0	0	0	0	0	0	0	2.17005882352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;L5_White_or_NS;White_beans_dry_cooked_fat_added_in_cooking_W_BUTTER_NFS
Chickpeas dry cooked fat added in cooking	0	0	0	0	0	2.42465294117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42465294117647	9.69861176470588	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Chickpeas_dry_cooked_fat_added_in_cooking
Chickpeas dry cooked fat not added in cooking	0	0	0	0	0	19.2618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1402	0	0	0	0	6.4206	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Chickpeas_dry_cooked_fat_not_added_in_cooking
Chickpeas dry cooked NS as to fat added in cooking	0	3.864290625	0	0	0	0	0	0	0	1.21232647058824	0	0	0	0	2.42465294117647	0	0	1.21232647058824	0	0	0	0	0	0	0	0.909244823529412	0	0	0	0	0	2.42465294117647	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Chickpeas_dry_cooked_NS_as_to_fat_added_in_cooking
Lentils dry cooked fat added in cooking	0	0	0	0	0	3.04462941176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04462941176471	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Lentils_dry_cooked_fat_added_in_cooking
Lentils dry cooked fat not added in cooking	0	0	0	0	0	10.3713	5.18565	0	0	0	0	0.864275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;L5_;Lentils_dry_cooked_fat_not_added_in_cooking
Chicken meatless breaded fried	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.53468235294118	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;L5_;Chicken_meatless_breaded_fried
Tofu and vegetables including carrots broccoli andor dark green leafy vegetables no potatoes with soy based sauce mixture 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05691764705882	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;L5_;Tofu_and_vegetables_including_carrots_broccoli_andor_dark_green_leafy_vegetables_no_potatoes_with_soy_based_sauce_mixture_
Vegetarian burger or patty meatless no bun	2.39585294117647	0	0	0	0	4.02161029411765	4.79170588235294	0	0	0	0	0	0	0.798617647058824	2.19619852941176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;L5_;Vegetarian_burger_or_patty_meatless_no_bun
Vegetarian pot pie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66324411764706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;L5_;Vegetarian_pot_pie
Garbanzo bean or chickpea soup home recipe canned or ready to serve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56869411764706	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soups_with_legumes_as_major_ingredient;L4_;L5_;Garbanzo_bean_or_chickpea_soup_home_recipe_canned_or_ready_to_serve
