	MCT.f.0052	MCT.f.0053	MCT.f.0054	MCT.f.0055	MCT.f.0056	MCT.f.0057	MCT.f.0058	MCT.f.0059	MCT.f.0060	MCT.f.0061	MCT.f.0063	MCT.f.0065	MCT.f.0066	MCT.f.0067	MCT.f.0068
MCT.f.0052	0.0	6.07601142313	6.65148833467	7.4029158656	8.47034632035	9.07272727273	9.44904192479	9.58946840522	8.99740671373	9.33468013468	8.42152133581	9.72846188042	8.72269816629	8.71702422455	8.65962814164
MCT.f.0053	6.07601142313	0.0	4.92081730992	6.62811143976	7.47646472201	8.14198752474	9.23366467255	9.4960588572	9.53771956754	9.98138452589	9.22803870987	10.0338265979	8.17757743048	8.80042935026	9.14557179985
MCT.f.0054	6.65148833467	4.92081730992	0.0	4.45302515841	6.28358043137	6.63203624508	7.86100514705	7.81503137732	7.01151073587	8.43633979917	8.49955494208	8.46170781314	7.27934426384	7.49385447394	6.78793122266
MCT.f.0055	7.4029158656	6.62811143976	4.45302515841	0.0	4.68121002864	5.82550581342	7.50623301302	6.99780105675	7.70726623608	8.19414182103	8.25431078776	8.32022445628	7.1711199313	7.47318545452	7.88209139206
MCT.f.0056	8.47034632035	7.47646472201	6.28358043137	4.68121002864	0.0	4.48940533151	6.84417368157	6.7471887524	6.8167122893	7.86310726311	8.5736019083	7.98260354153	7.23630634751	7.36214739047	7.84902675262
MCT.f.0057	9.07272727273	8.14198752474	6.63203624508	5.82550581342	4.48940533151	0.0	5.21461187907	6.34266627634	7.16611590928	7.81958178274	7.44751489112	8.12449082252	6.39155402818	7.19530658236	7.6588757702
MCT.f.0058	9.44904192479	9.23366467255	7.86100514705	7.50623301302	6.84417368157	5.21461187907	0.0	3.91318170041	6.65134706815	6.88025527328	7.31686480343	7.15702943672	6.85205844596	7.11031638064	7.38582292418
MCT.f.0059	9.58946840522	9.4960588572	7.81503137732	6.99780105675	6.7471887524	6.34266627634	3.91318170041	0.0	5.48463933798	7.0131454971	7.73940772756	6.74103238812	7.25564098914	7.51039154829	7.53160406193
MCT.f.0060	8.99740671373	9.53771956754	7.01151073587	7.70726623608	6.8167122893	7.16611590928	6.65134706815	5.48463933798	0.0	5.0675908584	7.26937204585	7.34248040329	7.78274223802	7.08246964831	6.65217610833
MCT.f.0061	9.33468013468	9.98138452589	8.43633979917	8.19414182103	7.86310726311	7.81958178274	6.88025527328	7.0131454971	5.0675908584	0.0	5.12903574128	6.97627867921	7.67875122624	6.94983760913	7.61569099699
MCT.f.0063	8.42152133581	9.22803870987	8.49955494208	8.25431078776	8.5736019083	7.44751489112	7.31686480343	7.73940772756	7.26937204585	5.12903574128	0.0	7.19012453043	7.25570099972	7.39493336315	7.75411624054
MCT.f.0065	9.72846188042	10.0338265979	8.46170781314	8.32022445628	7.98260354153	8.12449082252	7.15702943672	6.74103238812	7.34248040329	6.97627867921	7.19012453043	0.0	5.41819206592	5.76427384825	6.47744103006
MCT.f.0066	8.72269816629	8.17757743048	7.27934426384	7.1711199313	7.23630634751	6.39155402818	6.85205844596	7.25564098914	7.78274223802	7.67875122624	7.25570099972	5.41819206592	0.0	5.1016077798	5.99236811191
MCT.f.0067	8.71702422455	8.80042935026	7.49385447394	7.47318545452	7.36214739047	7.19530658236	7.11031638064	7.51039154829	7.08246964831	6.94983760913	7.39493336315	5.76427384825	5.1016077798	0.0	3.80959454939
MCT.f.0068	8.65962814164	9.14557179985	6.78793122266	7.88209139206	7.84902675262	7.6588757702	7.38582292418	7.53160406193	6.65217610833	7.61569099699	7.75411624054	6.47744103006	5.99236811191	3.80959454939	0.0
