	sample1	sample2	sample3	sample6	sample7	sample9	sample10	sample11	sample12	sample13	sample14	sample15
sample1	0.0	8.31608071436	10.6106761146	9.47160273241	8.77457020057	9.32264345015	9.96782281172	8.40681404639	9.5207092851	10.9692570403	10.7367097482	10.7744352285
sample2	8.31608071436	0.0	7.74649419894	8.0298750679	9.62367724868	6.3374033374	7.92552056665	7.47626771714	9.00998199967	9.48484848485	10.2364066194	9.73383458647
sample3	10.6106761146	7.74649419894	0.0	9.07667119552	10.7073264781	8.94923428471	5.65891657683	7.24005967013	9.99575210786	10.6799823427	5.87813816113	6.61870924097
sample6	9.47160273241	8.0298750679	9.07667119552	0.0	9.09157160963	9.17316629294	9.00893842757	8.1387971469	8.44300217833	9.60603756193	9.87895396813	9.78590354213
sample7	8.77457020057	9.62367724868	10.7073264781	9.09157160963	0.0	10.3581196581	10.8303763441	10.4748783455	9.95978154148	10.0237373737	10.5734042553	10.6005263158
sample9	9.32264345015	6.3374033374	8.94923428471	9.17316629294	10.3581196581	0.0	7.37872208437	6.86546259904	7.81347003512	9.96083916084	10.3167394072	7.84666666667
sample10	9.96782281172	7.92552056665	5.65891657683	9.00893842757	10.8303763441	7.37872208437	0.0	5.53090416765	8.86110979144	9.63435158032	7.36238846946	6.98685059423
sample11	8.40681404639	7.47626771714	7.24005967013	8.1387971469	10.4748783455	6.86546259904	5.53090416765	0.0	7.55656665556	10.2603553786	8.45748563442	7.34372646946
sample12	9.5207092851	9.00998199967	9.99575210786	8.44300217833	9.95978154148	7.81347003512	8.86110979144	7.55656665556	0.0	9.7367965368	10.9493623288	9.68936981629
sample13	10.9692570403	9.48484848485	10.6799823427	9.60603756193	10.0237373737	9.96083916084	9.63435158032	10.2603553786	9.7367965368	0.0	9.42030947776	8.81186602871
sample14	10.7367097482	10.2364066194	5.87813816113	9.87895396813	10.5734042553	10.3167394072	7.36238846946	8.45748563442	10.9493623288	9.42030947776	0.0	4.92008958567
sample15	10.7744352285	9.73383458647	6.61870924097	9.78590354213	10.6005263158	7.84666666667	6.98685059423	7.34372646946	9.68936981629	8.81186602871	4.92008958567	0.0
