	sample1	sample2	sample3	sample4	sample6	sample8	sample9	sample11	sample13	sample14
sample1	0.0	8.79243970315	5.91878980892	7.86075355323	8.03266129032	7.45495569413	9.44605588964	9.1450504283	9.78462027103	9.22713669848
sample2	8.79243970315	0.0	7.7011243988	8.06641683222	9.5112244898	9.28860605614	9.01572302073	10.1021493704	10.0290594499	9.44750441613
sample3	5.91878980892	7.7011243988	0.0	7.02106232268	7.01816313951	7.63857527191	8.63307640834	8.24116056505	8.22092547903	7.39477542785
sample4	7.86075355323	8.06641683222	7.02106232268	0.0	8.75502902274	8.88052564881	9.61443017343	9.76820794219	10.0278495392	9.17032546163
sample6	8.03266129032	9.5112244898	7.01816313951	8.75502902274	0.0	7.8824036334	8.52313292331	9.58964604373	7.71268282909	7.57205489218
sample8	7.45495569413	9.28860605614	7.63857527191	8.88052564881	7.8824036334	0.0	9.32866032674	9.6602328465	9.73545305738	8.81672218122
sample9	9.44605588964	9.01572302073	8.63307640834	9.61443017343	8.52313292331	9.32866032674	0.0	8.73350442917	9.55098242985	8.04372594965
sample11	9.1450504283	10.1021493704	8.24116056505	9.76820794219	9.58964604373	9.6602328465	8.73350442917	0.0	10.6545526629	9.65626067048
sample13	9.78462027103	10.0290594499	8.22092547903	10.0278495392	7.71268282909	9.73545305738	9.55098242985	10.6545526629	0.0	7.19915811629
sample14	9.22713669848	9.44750441613	7.39477542785	9.17032546163	7.57205489218	8.81672218122	8.04372594965	9.65626067048	7.19915811629	0.0
