	sample2	sample3	sample4	sample5	sample6	sample8	sample10	sample11	sample13	sample15	sample16
sample2	0.0	7.7011243988	8.06641683222	8.71317015552	9.5112244898	9.28860605614	9.1995631097	10.1021493704	10.0290594499	9.25807672892	9.18174447861
sample3	7.7011243988	0.0	7.02106232268	7.77303541074	7.01816313951	7.63857527191	7.52535006942	8.24116056505	8.22092547903	6.94948721988	7.59456708257
sample4	8.06641683222	7.02106232268	0.0	9.24675373948	8.75502902274	8.88052564881	8.77990294034	9.76820794219	10.0278495392	9.18406871176	9.33436780216
sample5	8.71317015552	7.77303541074	9.24675373948	0.0	8.37031428275	8.36449324991	6.87216527897	8.70114055063	9.90789079507	6.53767057139	8.83773950579
sample6	9.5112244898	7.01816313951	8.75502902274	8.37031428275	0.0	7.8824036334	9.90263929619	9.58964604373	7.71268282909	7.84060184657	9.0068935042
sample8	9.28860605614	7.63857527191	8.88052564881	8.36449324991	7.8824036334	0.0	8.1974231661	9.6602328465	9.73545305738	7.90343279203	9.55090252708
sample10	9.1995631097	7.52535006942	8.77990294034	6.87216527897	9.90263929619	8.1974231661	0.0	7.38901318311	9.61927833737	7.4991451043	8.74472341622
sample11	10.1021493704	8.24116056505	9.76820794219	8.70114055063	9.58964604373	9.6602328465	7.38901318311	0.0	10.6545526629	7.97445949284	9.8658117167
sample13	10.0290594499	8.22092547903	10.0278495392	9.90789079507	7.71268282909	9.73545305738	9.61927833737	10.6545526629	0.0	8.54421350657	7.4075895516
sample15	9.25807672892	6.94948721988	9.18406871176	6.53767057139	7.84060184657	7.90343279203	7.4991451043	7.97445949284	8.54421350657	0.0	8.45405876373
sample16	9.18174447861	7.59456708257	9.33436780216	8.83773950579	9.0068935042	9.55090252708	8.74472341622	9.8658117167	7.4075895516	8.45405876373	0.0
