	sample2	sample3	sample4	sample5	sample6	sample8	sample11	sample12	sample13	sample15	sample16
sample2	0.0	7.4946048847	5.27664782858	8.6201518145	8.78506861089	8.78144171779	7.86747192562	10.1314679779	8.88039082027	7.90020276594	7.31919452843
sample3	7.4946048847	0.0	9.10889502984	9.37417665702	9.91952397785	9.67335704607	8.99877157941	9.28082739884	9.86124661247	8.93136511874	8.41332451602
sample4	5.27664782858	9.10889502984	0.0	9.12772814561	8.36200947145	8.86386494253	6.69841648627	10.0898678629	8.52063492063	9.4897094431	7.48990029934
sample5	8.6201518145	9.37417665702	9.12772814561	0.0	8.07724555801	9.39306144068	9.83095419623	10.5618034235	9.23942247332	8.43983050847	9.54712513178
sample6	8.78506861089	9.91952397785	8.36200947145	8.07724555801	0.0	8.01630434783	9.03622352607	9.07475335947	8.1961352657	9.49099320396	10.002103414
sample8	8.78144171779	9.67335704607	8.86386494253	9.39306144068	8.01630434783	0.0	8.70627883506	8.18949028122	9.42719907407	7.57874293785	9.35371810207
sample11	7.86747192562	8.99877157941	6.69841648627	9.83095419623	9.03622352607	8.70627883506	0.0	9.25171937115	8.2268102012	9.94185091783	9.96937136802
sample12	10.1314679779	9.28082739884	10.0898678629	10.5618034235	9.07475335947	8.18949028122	9.25171937115	0.0	9.94412278283	8.20090844093	10.3322924953
sample13	8.88039082027	9.86124661247	8.52063492063	9.23942247332	8.1961352657	9.42719907407	8.2268102012	9.94412278283	0.0	9.96660389203	10.5439659755
sample15	7.90020276594	8.93136511874	9.4897094431	8.43983050847	9.49099320396	7.57874293785	9.94185091783	8.20090844093	9.96660389203	0.0	8.23228043143
sample16	7.31919452843	8.41332451602	7.48990029934	9.54712513178	10.002103414	9.35371810207	9.96937136802	10.3322924953	10.5439659755	8.23228043143	0.0
