	MCT.f.0565	MCT.f.0566	MCT.f.0567	MCT.f.0568	MCT.f.0570	MCT.f.0573	MCT.f.0574	MCT.f.0575	MCT.f.0577	MCT.f.0578
MCT.f.0565	0.0	0.243243243243	0.38	0.606896551724	0.663194444444	0.646209386282	0.648026315789	0.725856697819	0.728706624606	0.716723549488
MCT.f.0566	0.243243243243	0.0	0.183856502242	0.463878326996	0.653846153846	0.660714285714	0.648026315789	0.717868338558	0.708333333333	0.707903780069
MCT.f.0567	0.38	0.183856502242	0.0	0.324	0.534798534799	0.655172413793	0.616883116883	0.695384615385	0.681388012618	0.705298013245
MCT.f.0568	0.606896551724	0.463878326996	0.324	0.0	0.330543933054	0.653979238754	0.62012987013	0.665615141956	0.646103896104	0.673469387755
MCT.f.0570	0.663194444444	0.653846153846	0.534798534799	0.330543933054	0.0	0.489795918367	0.570422535211	0.639730639731	0.659932659933	0.665467625899
MCT.f.0573	0.646209386282	0.660714285714	0.655172413793	0.653979238754	0.489795918367	0.0	0.270742358079	0.472868217054	0.702341137124	0.672794117647
MCT.f.0574	0.648026315789	0.648026315789	0.616883116883	0.62012987013	0.570422535211	0.270742358079	0.0	0.244897959184	0.517482517483	0.698360655738
MCT.f.0575	0.725856697819	0.717868338558	0.695384615385	0.665615141956	0.639730639731	0.472868217054	0.244897959184	0.0	0.437037037037	0.63321799308
MCT.f.0577	0.728706624606	0.708333333333	0.681388012618	0.646103896104	0.659932659933	0.702341137124	0.517482517483	0.437037037037	0.0	0.316017316017
MCT.f.0578	0.716723549488	0.707903780069	0.705298013245	0.673469387755	0.665467625899	0.672794117647	0.698360655738	0.63321799308	0.316017316017	0.0
