	MCT.f.0565	MCT.f.0566	MCT.f.0567	MCT.f.0568	MCT.f.0570	MCT.f.0573	MCT.f.0574	MCT.f.0575	MCT.f.0577	MCT.f.0578
MCT.f.0565	0.0	1.99504193348	4.31479783613	6.67167207792	7.47759052552	6.97973838682	7.04520697168	7.80553117381	7.33034643766	7.43808289384
MCT.f.0566	1.99504193348	0.0	2.75996303033	5.24298787735	7.42513407835	7.34853816982	7.25783824345	7.93190200241	7.14650147547	7.22756150686
MCT.f.0567	4.31479783613	2.75996303033	0.0	2.95157514131	5.8637942039	7.61320711734	7.06504637024	7.61007142666	7.09761233487	7.23939856597
MCT.f.0568	6.67167207792	5.24298787735	2.95157514131	0.0	3.8100817231	7.86465636134	7.20194327731	7.54812807882	7.20840592334	7.53339451846
MCT.f.0570	7.47759052552	7.42513407835	5.8637942039	3.8100817231	0.0	5.32975575897	6.35595595209	7.00920053434	6.8718341985	7.02282451916
MCT.f.0573	6.97973838682	7.34853816982	7.61320711734	7.86465636134	5.32975575897	0.0	2.51466118762	4.49371764641	6.57348272276	6.25001547125
MCT.f.0574	7.04520697168	7.25783824345	7.06504637024	7.20194327731	6.35595595209	2.51466118762	0.0	2.79541807528	4.9862505978	6.41819498392
MCT.f.0575	7.80553117381	7.93190200241	7.61007142666	7.54812807882	7.00920053434	4.49371764641	2.79541807528	0.0	3.87216148024	5.22456468158
MCT.f.0577	7.33034643766	7.14650147547	7.09761233487	7.20840592334	6.8718341985	6.57348272276	4.9862505978	3.87216148024	0.0	2.12103329436
MCT.f.0578	7.43808289384	7.22756150686	7.23939856597	7.53339451846	7.02282451916	6.25001547125	6.41819498392	5.22456468158	2.12103329436	0.0
