	sample1	sample3	sample4	sample5	sample8	sample9	sample10	sample11	sample12	sample14
sample1	0.0	0.755102040816	0.776	0.7125	0.764705882353	0.697183098592	0.795918367347	0.807407407407	0.723404255319	0.815789473684
sample3	0.755102040816	0.0	0.80303030303	0.787356321839	0.779874213836	0.741721854305	0.631578947368	0.761194029851	0.678571428571	0.814102564103
sample4	0.776	0.80303030303	0.0	0.743055555556	0.748091603053	0.778625954198	0.654867256637	0.59793814433	0.7890625	0.739837398374
sample5	0.7125	0.787356321839	0.743055555556	0.0	0.752873563218	0.82967032967	0.786982248521	0.803797468354	0.844444444444	0.824858757062
sample8	0.764705882353	0.779874213836	0.748091603053	0.752873563218	0.0	0.619718309859	0.853658536585	0.762589928058	0.798742138365	0.798742138365
sample9	0.697183098592	0.741721854305	0.778625954198	0.82967032967	0.619718309859	0.0	0.797385620915	0.782608695652	0.727891156463	0.785714285714
sample10	0.795918367347	0.631578947368	0.654867256637	0.786982248521	0.853658536585	0.797385620915	0.0	0.730158730159	0.730496453901	0.739436619718
sample11	0.807407407407	0.761194029851	0.59793814433	0.803797468354	0.762589928058	0.782608695652	0.730158730159	0.0	0.7265625	0.81884057971
sample12	0.723404255319	0.678571428571	0.7890625	0.844444444444	0.798742138365	0.727891156463	0.730496453901	0.7265625	0.0	0.761904761905
sample14	0.815789473684	0.814102564103	0.739837398374	0.824858757062	0.798742138365	0.785714285714	0.739436619718	0.81884057971	0.761904761905	0.0
