	sample1	sample2	sample3	sample4	sample7	sample8	sample10	sample12	sample13	sample16
sample1	0.0	11.3580570469	28.9833234357	15.1030391881	15.2130753191	15.2639417583	12.0343281014	13.5323924127	13.0442172646	17.2057725146
sample2	11.3580570469	0.0	31.0253183736	10.8220301984	12.2325865663	11.9368661623	12.4312978502	12.5374028956	11.2910512483	14.2537875567
sample3	28.9833234357	31.0253183736	0.0	31.6308112223	29.2221603462	33.2096902523	31.7204208373	31.0806550781	33.7327246919	28.2098820824
sample4	15.1030391881	10.8220301984	31.6308112223	0.0	9.48839906697	8.91590447022	11.2633376291	10.0991524339	10.6927089588	13.6087224497
sample7	15.2130753191	12.2325865663	29.2221603462	9.48839906697	0.0	9.07525787651	10.9604359299	12.533035368	12.7922700619	11.3252673825
sample8	15.2639417583	11.9368661623	33.2096902523	8.91590447022	9.07525787651	0.0	9.09121547079	11.7571880399	10.9612265436	15.5352907684
sample10	12.0343281014	12.4312978502	31.7204208373	11.2633376291	10.9604359299	9.09121547079	0.0	11.2803049889	11.0454497846	16.3176912935
sample12	13.5323924127	12.5374028956	31.0806550781	10.0991524339	12.533035368	11.7571880399	11.2803049889	0.0	10.93384236	14.7674232276
sample13	13.0442172646	11.2910512483	33.7327246919	10.6927089588	12.7922700619	10.9612265436	11.0454497846	10.93384236	0.0	17.6578191911
sample16	17.2057725146	14.2537875567	28.2098820824	13.6087224497	11.3252673825	15.5352907684	16.3176912935	14.7674232276	17.6578191911	0.0
