	sample1	sample2	sample3	sample5	sample8	sample9	sample10	sample12	sample13
sample1	0.0	9.85260681223	8.62295655215	8.1302958508	9.90748207885	9.17508154432	9.03405017921	9.80479735318	9.97992831541
sample2	9.85260681223	0.0	7.4946048847	8.6201518145	8.78144171779	8.42806801537	8.2990797546	10.1314679779	8.88039082027
sample3	8.62295655215	7.4946048847	0.0	9.37417665702	9.67335704607	9.2975497229	8.04073782673	9.28082739884	9.86124661247
sample5	8.1302958508	8.6201518145	9.37417665702	0.0	9.39306144068	11.1792622134	9.302870421	10.5618034235	9.23942247332
sample8	9.90748207885	8.78144171779	9.67335704607	9.39306144068	0.0	8.01676038062	8.45530913978	8.18949028122	9.42719907407
sample9	9.17508154432	8.42806801537	9.2975497229	11.1792622134	8.01676038062	0.0	8.97374148901	9.50435745748	10.851723696
sample10	9.03405017921	8.2990797546	8.04073782673	9.302870421	8.45530913978	8.97374148901	0.0	9.67493796526	9.83936678614
sample12	9.80479735318	10.1314679779	9.28082739884	10.5618034235	8.18949028122	9.50435745748	9.67493796526	0.0	9.94412278283
sample13	9.97992831541	8.88039082027	9.86124661247	9.23942247332	9.42719907407	10.851723696	9.83936678614	9.94412278283	0.0
