	MCT.f.0241	MCT.f.0242	MCT.f.0243	MCT.f.0244	MCT.f.0245	MCT.f.0247	MCT.f.0249	MCT.f.0250	MCT.f.0252	MCT.f.0254	MCT.f.0255
MCT.f.0241	0.0	2.24543648821	4.19850659638	6.51207707282	7.38072463804	7.30572648272	7.64852285153	7.11118001954	8.09110203134	7.50047952395	7.08107340894
MCT.f.0242	2.24543648821	0.0	2.74584807999	5.00047933747	7.14027236041	7.34598591086	7.6749098179	7.19593968472	8.11138458042	7.45187001245	6.91527121604
MCT.f.0243	4.19850659638	2.74584807999	0.0	2.78506332896	5.13030059165	6.91749713136	7.10274480924	6.47548445683	7.4829656474	6.33198244943	6.08511195877
MCT.f.0244	6.51207707282	5.00047933747	2.78506332896	0.0	2.96133949051	6.28773927347	7.58395989975	7.15582834991	7.35930036796	6.64581815523	6.44608597742
MCT.f.0245	7.38072463804	7.14027236041	5.13030059165	2.96133949051	0.0	4.20658939303	7.59997875617	7.29819987605	7.22758053896	6.69597204683	6.64559962378
MCT.f.0247	7.30572648272	7.34598591086	6.91749713136	6.28773927347	4.20658939303	0.0	5.79532427782	7.06706171926	7.80925329168	6.99645238819	6.8233404489
MCT.f.0249	7.64852285153	7.6749098179	7.10274480924	7.58395989975	7.59997875617	5.79532427782	0.0	4.09211476095	8.58066191986	7.62658652379	6.89109189836
MCT.f.0250	7.11118001954	7.19593968472	6.47548445683	7.15582834991	7.29819987605	7.06706171926	4.09211476095	0.0	5.26215619546	7.08684636801	6.37959818369
MCT.f.0252	8.09110203134	8.11138458042	7.4829656474	7.35930036796	7.22758053896	7.80925329168	8.58066191986	5.26215619546	0.0	4.2182898038	6.64349266746
MCT.f.0254	7.50047952395	7.45187001245	6.33198244943	6.64581815523	6.69597204683	6.99645238819	7.62658652379	7.08684636801	4.2182898038	0.0	3.25683387285
MCT.f.0255	7.08107340894	6.91527121604	6.08511195877	6.44608597742	6.64559962378	6.8233404489	6.89109189836	6.37959818369	6.64349266746	3.25683387285	0.0
