	PD_whole_tree	shannon	chao1	simpson
MCTs01	86.0	5.26971517448	41.0	0.97252981739
MCTs03	111.0	5.58176863926	49.0	0.978645833333
MCTs04	102.0	5.60960085125	51.0	0.978748474519
MCTs06	40.0	3.83256059615	15.0	0.926114094934
MCTs07	76.0	5.22932326853	40.0	0.971781779092
MCTs08	77.0	5.02964483234	35.0	0.967447957305
MCTs09	52.0	4.17159236098	19.0	0.94226056269
MCTs10	72.0	4.84565689792	31.0	0.963011937557
MCTs13	81.0	5.15464950242	37.0	0.970867057746
MCTs14	102.0	5.67281458719	54.0	0.979389834068
MCTs15	70.0	4.94721566746	32.0	0.966522024984
MCTs16	36.0	3.28440139028	10.0	0.894966309948
MCTs18	57.0	4.31740657604	21.0	0.947385204082
MCTs19	89.0	5.07136824443	35.0	0.969103666818
MCTs20	88.0	5.09496121179	36.0	0.969401752471
MCTs21	58.0	4.82064825691	29.0	0.963737024221
MCTs22	81.0	5.09135179432	36.0	0.969362776676
MCTs23	64.0	4.58813756926	25.0	0.956916099773
MCTs24	44.0	4.16492179579	19.0	0.941653313225
MCTs25	42.0	3.46858091885	12.0	0.902998236332
MCTs26	80.0	5.08820130092	35.0	0.9697
MCTs27	81.0	5.11957987065	36.0	0.970322516769
MCTs28	32.0	3.04820437313	9.0	0.865433673469
MCTs29	90.0	4.83784353727	30.0	0.963445216049
MCTs31	83.0	5.04476399209	35.0	0.967982090796
MCTs32	71.0	4.60620022437	27.0	0.95443067034
MCTs33	47.0	3.84944741852	15.0	0.92821216278
MCTs34	65.0	4.53504909116	24.0	0.955536265432
MCTs35	57.0	4.18749159174	19.0	0.942947845805
MCTs36	72.0	4.75922456257	28.0	0.961953125
MCTs37	51.0	4.3319218866	21.0	0.948395061728
