	MCT.f.0615	MCT.f.0616	MCT.f.0617	MCT.f.0618	MCT.f.0619	MCT.f.0620	MCT.f.0621	MCT.f.0622	MCT.f.0623	MCT.f.0624	MCT.f.0625	MCT.f.0627	MCT.f.0628
MCT.f.0615	0.0	2.91515504065	6.7636199095	7.84732930559	8.55703823637	7.40661021422	7.87891657475	7.04026990394	7.114276123	7.30094604271	8.58653484047	8.19406532559	6.70329247008
MCT.f.0616	2.91515504065	0.0	5.07909842034	6.03678829734	8.04462836439	6.79357147438	7.33942865467	6.85902031004	7.16852952076	7.37036131984	8.84426247017	8.32646993583	7.00695816809
MCT.f.0617	6.7636199095	5.07909842034	0.0	1.9631973729	3.48250573307	6.4600983837	6.59664251956	6.90873541265	6.95436206811	7.3122368397	8.6621750444	8.2779936646	8.06598221265
MCT.f.0618	7.84732930559	6.03678829734	1.9631973729	0.0	2.40600904328	5.32335799251	6.99862152119	8.01118938009	7.96728058738	8.29683123647	8.46605006712	8.49824726937	8.08593425114
MCT.f.0619	8.55703823637	8.04462836439	3.48250573307	2.40600904328	0.0	4.59429714274	5.90774288721	8.01396653691	7.75467463149	7.94780009301	8.33636393978	8.30216574735	8.20695102686
MCT.f.0620	7.40661021422	6.79357147438	6.4600983837	5.32335799251	4.59429714274	0.0	3.12150489918	6.30259597982	7.28264766334	7.34163043015	8.12015246144	8.15785573032	7.67171286945
MCT.f.0621	7.87891657475	7.33942865467	6.59664251956	6.99862152119	5.90774288721	3.12150489918	0.0	3.74779482507	5.06049377955	6.19817104925	7.79039209374	7.45063334527	7.14233496362
MCT.f.0622	7.04026990394	6.85902031004	6.90873541265	8.01118938009	8.01396653691	6.30259597982	3.74779482507	0.0	2.38833806008	4.15315316597	7.0070612059	6.99095643585	7.34044335265
MCT.f.0623	7.114276123	7.16852952076	6.95436206811	7.96728058738	7.75467463149	7.28264766334	5.06049377955	2.38833806008	0.0	2.09484442208	5.19523444823	5.97471726208	6.68843253179
MCT.f.0624	7.30094604271	7.37036131984	7.3122368397	8.29683123647	7.94780009301	7.34163043015	6.19817104925	4.15315316597	2.09484442208	0.0	4.26826581103	6.50476793459	7.25918975551
MCT.f.0625	8.58653484047	8.84426247017	8.6621750444	8.46605006712	8.33636393978	8.12015246144	7.79039209374	7.0070612059	5.19523444823	4.26826581103	0.0	3.59883223061	7.07446500758
MCT.f.0627	8.19406532559	8.32646993583	8.2779936646	8.49824726937	8.30216574735	8.15785573032	7.45063334527	6.99095643585	5.97471726208	6.50476793459	3.59883223061	0.0	4.17428757667
MCT.f.0628	6.70329247008	7.00695816809	8.06598221265	8.08593425114	8.20695102686	7.67171286945	7.14233496362	7.34044335265	6.68843253179	7.25918975551	7.07446500758	4.17428757667	0.0
